text,label
hey dumb fuck celebs stop doing something for people for publicity on facebook wtf happen to life u niggers are cowards,1
fuck u bitch rt fuck obama dumb ass nigger,1
no joe you are the racist they have so many video and audio clips of the racist shit you have spewed in your past how can anyone see you as anything but a racist you hate black people just admit it and you loves the women to touch just look at your own stuff,1
when your truck looks dumb as fuck out trying to make it look worse you aint country quit tryin nigger,1
that nigger food in the cafe today was disgusting,1
muthafuckas still ego trippingfool fuck your damn ego and live life to the fullest lol at these dumb ass niggers with the bullshit,1
dont play dumb i should fuck yo little white ass up you nigger 3chainz aw,1
i will only say it once if you do not fear have the suspicion of being called a nigger nigga or negro at any point in your life you cannot use the n word period i am talking about non black people in specific white passing mixed kids are on thin ice,1
oh look its that dumb niggers ghost acct fuck you you dumb motherfucker,1
this bitch is dumb talk bout do not dew said not sayed nigger not nigga lol bitch fuck off,1
try throwing ur dab in first then hitting it w the torch till it starts bubbling ive switched becuase i hate accdmidently taking a hit one lol,1
this is not judgment but how did no one know this i remember being on early youtube and seeing him doing black face and saying nigger i remember seeing compilation of shane dawson doing disgusting stuff thats why i was confused why he was youtubes darling,1
if you are of african decent i dont give a fuck if you change your name is steve have good credit and discredit all black culture you are still a nigger in this country like fucking cut the bullshit you look dumb as hell and they still dont give a fuck about you,1
fyi the phrase is out your rabid mind dumb fucks smh niggers these days walks off,1
you hypocrite nigger youre stupid and you saying that makes you look like the dumb piece of shit imbred fuck you are ppzpzpzp,1
imma assume you hacked fuck michael brown he was just a dumb ass nigger lol,1
fuck u u faggot ass nigger im goin to go kill my self now better off dead than have some dumb fuck run my future fuckunobama,1
yall see this though right rt gt fuck obama dumb ass nigger bitch fuck ueat a dick,1
bitch sound dumb af us niggers will beat the fuck out of you,1
you a racist ass bitch and dat same dumb ass nigger still leading this country so fuck youuu bih fuck obama dumb ass nigger,1
fuck em opioid this opioid that we woulda been a nigger junkie too bad hed have to die to realize that im sick of his smart dumb ass enlightening the rest of these self hating idiots who believe that bullshit,1
historians james mcpherson barbara fields discuss racism slavery amp us colored troops during civil war at 6pm et,1
yes racism still exists but that doesnt mean everybody here is out to get u or hurt u take off ur race colored glasses and,1
fuck you dumb nigger,1
get da fuck outta here you dumb ass nigger bitch how bout when nigger bitches stop telling their boys thatthey,1
man fuck that im bout to unfollow that dumb ass nigger,1
i hate how you niggers keep saying brown skin girl is only for dark skin people shut up please hard r because yall are acting ignorant as fuck you all sound dumb,1
mannnn fuck these bitch ass niggers how yall doin im lil tunechii imma nuisance i go stupid i go dumb like the three stooges,1
boy this world is ful of surprises left niggers for this shit damn dt ws dumb as fuck,1
then we have ngozi onwurahs coffee colored children 1988 a moving experimental doc that explores the painful memories the director amp her brother share from experiencing racism in the uk as children and how their white mother was unable to help them navigate those encounters,1
i def dont want ur nasty ass nigger vagina like at all ur a dumb bitch gtfo,1
you wear camo overalls with no shoes fuck your sister and eat raw deer meat rt niggers are dumb,1
i live in seattle born in mo we r progressive here but my hick dumb fuck relatives in mo still refer to parts as nigger town,1
process of illumination nimrod was a hammite a so called african it says you are of your fathers seed not your mother it says hair as white as wool some negros have white fathers they are not negro they are white men seed we know of our enemies,1
black ugly bitches are jealous of sexy white girls black bitches know black guys love sex with white girls more than sex with black ugly hoes dont be jealous niggers sex with black hoes is disgusting feel like punching black hoes in their fat lip faces,1
a novel about a colored lieutenants fervent efforts to withstand the hostilities of racism in the us army,1
