text,label
rape is realzvasiyana nema jokes about being drunk or being gay or being lesbianrape is not ones choice or wishthtz where the sensitivity is coming from,1
you never saw any celebrity say anything like this for obama b maher incest rape joke s colbert gay joke k griffin beheading joke,1
i mean hes gay but he uses gendered slurs and makes rape jokes,1
rt feminazi,1
rape is rape and the fact that i read one post about a guy getting raped and the comments are calling him gay and he should be happy stfu and i really hope no one takes this as a joke tf you own no ones body you have no rights to do whatever you want to someone else,1
also its hard to take a company seriously re harassment when the game has rape jokes amp gay jokes and treats women the way it does,1
idgaf if you are gay lesbian bisexual or whatever the fuck you are you dont fuck make a rape joke and think its fucken ok,1
germanprofessor gives meaning to term feminazidoesnt hire indian men bcz of indiass rape problem,1
rt dontdatesjws thatwouldbeaviolationoftherestrainingorder,1
so i call you female im basically calling you a bitch,1
simple things please simple minds im not sexist but dammit the best jokes are,1
i know the worst feeling for a female gotta be when they break a nail i can just tell that shit hurt like a bitch,1
so hilarious u write ur own material a lot of ppl call me sexist but those ppl are women and their opinions dont matter,1
we voted for a guy who said hed rather have a dead son than a gay one claimed poc werent even good for procreation anymore amp told a female politician the only reason he wouldnt rape her was bc she was ugly but please dont think were sexist homophobic or racist,1
i always get fucking pissed when i see a man joke about the sexual abuse of another man wow please she should come amp rape me too some of us want mans is complaining nigga you gay what foolishness mocking and minimizing someones pain for bants are you okay at all,1
men who call women females or bitches have big ive never seen a real vagina energy,1
in a world where race jokes gay jokes and rape jokes arent acceptable comedy has taken a weird ass turn like you would think it would make comedy better but nah thats really not the case,1
rt id like to focus on the plight of the beaver we are oppressed and i consider myself a victim,1
nuke the gays is one of those ha ha no but really jokes whereas no one is actually pushing an agenda of child rape,1
akdldkakakkd what did you do was it an underage black gay cat rape joke,1
rt fuck im not sexist but i have a girl in my recruit school again son of a bitch,1
almost 2017 yall still out here using gay as an insult making rape jokes amp degrading women bc of their sexual history thats gotta go,1
rt who are the pretty girls these 2 blonde scrubbers keep talking about mkr,1
i hope twitter rips you a new one you make me sick how to discribe rape his dick was hungry notsexist,1
im annoyed to have missed this live need some bitchy mkr2015 mykitchenrules mkr,1
i call people bitches all the time male and female why did he call her one,1
after pacquiaos kill the gays vice gandas endless rape jokes amp duterte im starting to think the philippines likes train wrecks,1
cant call her a bitch cause a bitch is a female dog and female dogs are loyal which these hoes are not,1
im mad he didnt hit that bitch,1
rt i swear im not sexist but i honestly just cannot stand the woman college football announcer on espn2,1
morrison believes a labor candidates history of social media rape jokes required disendorsement saying the standard you walk past a liberal candidates history of campaigning that gay people are paedophiles morrison keeps walking,1
were there no women on the ships just gays is that that why he loves rape jokes so much doubt it,1
joder xddd,1
when they speak its a dick joke thats what she said huehuehue calling some gayfaggot making rapesexistracisthomophobic comments,1
rt she is blond what do you want notsexist,1
rt hollywoods newest feminazi movie remake will be titled ben herme,1
from what people have said there are rape jokes and the gay characters are made into a joke so hopefully thats as bad as it gets,1
rape and pedophilia tw i dont read much on him because hes generally not someone i want to think about the fact that he made a joke using a pedophilic rape manga about a year ago when the update was slow makes me question his choices immensely,1
watch audience revolts after margaretcho jokes about rape whites gay people celebrity,1
rt the only thing a woman should help a man build is a relationship tbh nosexist,1
rules of my friendship no gay jokes no rape jokes no slurs of any kind just nothing hurtful okay thank,1
thank you uncle brother male cousin father male friend random man for not doing what you werent supposed to do blameonenotall,1
hate when niggas say females fuckin annoying bitch call me a woman or dont say nun at all,1
were still two young hot blondes well youre youngmkr,1
the whole punching updown is not ok because it mocks the powerless for getting the short end of the stick in a system in which the powerful actively works to keep in place and benefits from that makes sense to me the rape jokes gay jokes trans jokes all fall in here,1
rt i would happily pay more for a flight if it would ensure no woman is near the controls i bet a lot of women would too,1
rt theres too many people with common sense sorry we dont need to rely on feminism to bring about e,1
rt im not sexist but i cant fall asleep if a females driving unless im on a xan,1
to the boy in my geometry class who made rape and gay jokes today,1
like rape jokes onstage at e3 and achievements for killing gay people in dr3 and macklmore front lining the launch like just eugh eugh,1
rt im not sexist or anything butno really im not hear me out if youre a female comedienne you have a lot to do to ma,1
keeks is a bitch she curves everyone lol i walked into a conversation like this smh,1
thanks i appreciate that,1
what is a female female what female dog female cat female is usually used to describe the sex of an animal female is an adjective not a noun we dont call men males its disrespectful and just another way to say bitch we are women or ladies not females,1
anybody else bothered that our president would rather make rape jokes or talk about being cured of being gay rather than make any kind of statement on how filipino fishermen were rammed amp abandoned at sea by a chinese ship,1
which is,1
men know sexism when they hear it they appreciate it when they homeboy call them a dog but feel disrespected when they are called a bitch both mean dog but one specifies a female its being compared to a female that is disrespectful because that is associated with being weak,1
hey you can message on instagram and tell him how rude it is to call his female colleagues fucking bitch,1
toto means ass or vaginai think pussy cause toto santi is like nasty pussy,1
what the hell is this recurring weirdness i swear im not sexist but female chipotle employees cant roll burritos for shiizzzz,1
rt rt kat is the king joffrey of mkr,1
cant call my female dog bitch even if its what she literally is,1
lrt ahahah oh wow im real glad nintendo decided to add in a hilarious combination date rape and gay conversion therapy joke in feif,1
rt ok so i hav a girl replacin my battery its kinda strangenotsexist,1
lol not rape joke piccolo and vegeta making sweet gay love,1
the motive doesnt lessen the outcome,1
rt her holding divorce papers,1
people should not have to be afraid of being gay people should not have to fear disownment conversion therapy corrective rape and murder for their sexual orientation they also shouldnt have to worry about tone deaf heteros whining about gay jokes on twitter but here we are,1
rt probably gonna piss off some feminists,1
pimps up pimps up hoes down future voice,1
hey dipshit do you feel like a big man when you call a female colleague a fucking bitch maybe your tighty whities are a little too right and scrawny little balls are all bunched up if you have any that is dipshit asshole chauvenistpig republicanasshole resign,1
rt i swear im not sexist but female tattoo artists bug me,1
i laugh at racistrape sexist amp gay jokes especially racist jokes oh amp dirty ones toolol,1
what a joke rape has become based on sentences rape the gay away pastor wont serve time via,1
rt and what rights would those be from what i can tell we have the same if not more rights then men femfreefriday htt,1
1 he started off talking about hating his mom and killing his wife and making gay and rape jokes we not into any of that 2 his beat selection is ass we not into any of that 3 lately the music has often been cringe aint nobody but stans into that,1
waystomakememad continuously joke about rape genocide gay rights or any other type of human rights related topic as if it doesnt matter,1
rt if they didnt need inflated rape statistics for money grabbing they would be cheering at this,1
prison gay rape jokes are not funny rape is rape,1
well thats probably the last i can be bothered with cucumber etc over to weekly wipecan it do without prison gay rape jokes this time,1
tw my aunts boyfriend showed up to thanksgiving dinner in a trump 2020 shirt he also made gay amp rape jokes with my grandfather at the dinner table in front of me my mother the host sisters amp 7 year old baby brother as if today isnt hard enough yay holidays,1
rt i am not sexist but changing making the next thor female isnt something im okay with due to thor almost always being,1
females got the audacity to call niggas ugly but all we got is hair cuts and a lineup yall beat ya face with makeup to be a whole different bitch,1
probably one of my favorite modern rappers who didnt call females bitches and about drugs 258 like that man really be having heavy messages in his music ima miss him,1
i hate when people make jokes about gays and when they make rape jokes and think its funny,1
i think a better dress comparison would be feminist dresses to impress feminazi dresses to depress,1
repost miley cyrus shocks fans with daterape joke at gay london celebrity mileycyrus pop,1
cant blame you for the assumption though my party has a surprising amount of people who think prison rape jokes gay jokes notmeeeeeeeisms unexamined racism and slut shaming is a ok,1
first line why boys crack up at rape jokes implies that all boys find rape hilarious no disagreement from you there john think having a girlfriend is gay implies that boys believe this based on what exactly news to me do you agree that boys think this,1
rt that woman reporter on soccer saturday hasnt got a clue annoying notsexist thetruth,1
yeah sorry too soon thats a bit too sick to be a joke right now like making a joke about a rape survivor a serial killer of innocent babies or adam schiffs murdered gay lover who took all the abuse adam schiff let build up inside him until it blew up like a nuclear bomb,1
exactly he was also making jokes about self harm suicide rape and said theres a special place in hell for gays not ok,1
kat is a sociopath mkr,1
boy i sure am glad you run a sexual assault charity so you can make rape jokes i bet you have a lot of blackgay friends,1
we may joke about a lot of stuff rape sex homophobes gays etc but suicide thats a big no some rps man,1
rt instead of doing something about the feminists who hate men im going to scream at you for pointing them out tweetlik,1
my kitchen rules or my vagina rules mkr,1
and yet if a woman should not mince words youd call her a bitch if it didnt align with your opinion i find him offensively bigoted all rah rah america as it fails a good portion of the population the poor the brown the female the lgbtq immigrantsbebest,1
i posted about a problematic drag queen that made a rape joke at queer junction in sheffield amp the terrible customer service that followed by someone working for them who also maliciously misgendered me amp said that i shun the gay world what a way to run a business huh,1
said the n word multiple times during her live stream supposedly called wyatt gay when she tried to insult him made rape jokes then she said that were mad because shes dating our crush which is absolute bullshit lmao,1
rt gotta bad bitch and she cant keep her clothes on so im like bend over stop and strike that pose,1
milo isnt libertarian he did and interview with your golden boy nick and they both hate libertarians joe rohan has a huge following and doesnt make rape jokes or talk about taking a womans right away to vote he also doesnt make fun of gay veterans,1
rt ucla womens law group libels chs then tries to hide it womenagainstfeminism,1
says the guy that probably doesnt want to even visit his doctor because hes afraid that getting a prostate examination will make him gay rape jokes arent funny,1
but also it hasnt hurt her career either and doing rape trans gay and fat shaming jokes should have,1
rt call me sexist but if its a female rapping i automatically dislike the song chauvinism vocabword,1
anyone has a list of things to not joke about obviously has gay aids from rape while self harming no,1
nothing says sexy like rape jokes fatphobia gay stereotypes and sexualizing lesbians for male consumption the fact that hes fucking ugly doesnt help either lmao,1
half heartedly apologized to rep ocasiocortez for calling her a fu bitch he has 2 daughters and yet he blatantly uses vulgar language wrt a fellow female rep being a repub i am sure he goes to church on sundays and i wonder whether what he calls mary,1
murdered babies ok rape jokes ok holocaust jokes are fine race jokes and gay jokes are cool but no pedo jokes is that your stance strange separations you make,1
resignalfranken jokes about rape and wanting gays to be killed,1
rt all woman short lists in parliamentreally if they were good enough theyd beat the men to the vote notsexist,1
so you can joke about rape but suddenly being gay is wrong youre a shit muslim naib hypocrite,1
ugh im not that dirty i still care bout my face and body tho dan juga fujo not actually gay satu lagi gue kalo ngejokes juga ngotak rape isnt a joke and never can be,1
u ever been on a female for a while then finally see her in person and be thinking as soon as u see her like this bitch dont even look that good my whole mood b blew text the homies aye call me rq abolish makeup and filters,1
its fascinating how socially acceptable gay rape jokes are if the punching bag is on the right,1
as a result there is a possible supply of 100 of the population for all female jobs vs maybe 20 for some male jobs,1
is just so so creepy if i joke about way less creepy stuff like joking like im gay oh man people shit a set of gold plates and their demeanor shows that stuff is hard to pass through lol and i dont threaten rape saying rub my rubarb or i love sausage cuz im so damn,1
nope call me sexist but no shave november is only for guys,1
rt not sexist but there are certain things that a woman cant tell me nothing about,1
im scared of gay gangsters rape is no joke,1
vice ganda gay filipino comedian makes controversial rape joke,1
make jokes about rape make jokes about paedophilia make racist jokes yeah youre definitely fighting for the right side its not like theres video evidence of vic being lovinhf and kind to the gay and trans community to disprove his homophobic accusations oh wist there is,1
gay sue perkins attacks rape joke comedians via,1
so far the men in credit have called me dumb mocked gay people said women shouldnt have equal rights and made jokes about rape victims,1
rape isnt a joke girls are human too so thats why for me gay is good,1
guess one of em isnt too bad mkr,1
human rights abuse its no coincidence that rape jokes and gaylesbian persecution tend to be promoted by the same type of people,1
a misogynist a woman wants her man to treat her like a princess to the world and fuck her like a whore someone,1
remember when critz made a rape joke and denigrated gay couples no chance gop would bring those up papolitics,1
she has made gay rape and race based jokes just in the first two episodes of her show shes not funny at all shes just slightly weird and politically incorrect the very definition of white feminism and shes so basic,1
stop making rapesexual assault and gay jokes its not funny its disgusting,1
ew white boys who use the n and r words and joke about being gay and rape,1
exactly but people hate when female characters have unhealthy coping mechanisms because of trauma so theyll just call her a bitch or say shes rude for no reason,1
you consider yourself as part of this community and you think like that motherfucking way rape joke is a no laughing matter and saying that gays who get rapped would feel happy pa anong utak meron ka girl tangina mo,1
mkr if we have to see kat on the tv past tonight im out,1
retweeted avi just gonna keep a running list of things i wish people would stop doing 1 mocking women based on their appearance 2 making prison rape jokes 3 making jokes about people being gay,1
1 top tweet resurrection 2 i am currently on my private yacht the feminazi retweet do the maths,1
your a killer al if you want ufc to cut you all you need to do is tweet a joke about rape or gay people seems to work,1
youre right rape joke was in good taste then as always and a sign of a man who deeply cares about the issues note lets remember that time he laughed when i woman talked about gay sexual assault,1
well i hate it buti know what you mean thanks this will be rubbed in their hypocrite faces shortly,1
or do offensive things now because someone will say something because oh no you cant make rape jokes oh no you cant make gay jokes oh no you cant be fucking racist,1
feminazi,1
